% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
216.5                                             0.004388025966902539                              0.004377901950361983-2.979033387320625E-4i
217                                               4.4015454533827036E-4                             -3.71260281650993E-4+2.364356721190033E-4i
217.5                                             0.001622734740482194                              0.0012404264969377648+0.001046236179675755i
218                                               0.011898254404123891                              -0.008405388610183572+0.008421276635822495i
218.5                                             0.022308605033843958                              -0.008978440950412671+0.020422082573919847i
219                                               0.03309369773909225                               1.1336266644532799E-4+0.03309350357626487i
219.5                                             0.040669033574314686                              0.01715370331817889+0.036874391579260445i
220                                               0.04332231095954575                               0.03149087251651161+0.029751429797984362i
220.5                                             0.042751039727852345                              0.03835885471292901+0.018874577158834935i
221                                               0.041104863795868966                              0.04008997173577464+0.009077664562084798i
221.5                                             0.03941661431893001                               0.03939490058943922+0.001308163566026602i
222                                               0.036716050926511715                              0.03643919389090896-0.004500393784875405i
222.5                                             0.0355829386544999                                0.034381258424149574-0.009169219839318218i
223                                               0.035632197705130465                              0.03298279142560849-0.013482914487317338i
223.5                                             0.03293263380857557                               0.029004777684014-0.015597475471070894i
224                                               0.032336700784674384                              0.026741664002422103-0.01818091372893901i
224.5                                             0.03419342270194236                               0.026109722947141634-0.02207877994131951i
225                                               0.07541044275403733                               0.04166023511637095-0.06285825074251299i
225.5                                             0.025305505081335798                              0.016539038995762628-0.01915277464280711i
226                                               0.025812326192602614                              0.015130622774731858-0.020912686052300518i
226.5                                             0.025580716767887896                              0.01325422289939559-0.021879182930174483i
227                                               0.02545301190646659                               0.011403213559013166-0.022755714351306758i
227.5                                             0.02800733762022859                               0.01007467877629573-0.026132581352172772i
