% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
226                                               519.6014179689823                                 5.10622399276284-519.5763274360302i
226.5                                             283.93405123305894                                34.622035698027986-281.81529428642057i
227                                               514.4426815203036                                 5.934824118403156-514.4084470850805i
227.5                                             515.7807526007244                                 3.4681230336367266-515.769092594732i
228                                               499.472924623735                                  3.9444680348204506-499.45734913414736i
228.5                                             511.11196144829484                                3.1771917967452397-511.10208626830115i
229                                               504.5993257955404                                 3.050167801060128-504.5901069875422i
229.5                                             501.29238591207644                                2.5791577382722766-501.2857509632438i
230                                               517.6808277811643                                 17.31197468852322-517.3912784195105i
230.5                                             496.6376185844696                                 3.5560965603222567-496.6248869826267i
231                                               491.3385420054271                                 3.3308704899870603-491.3272515969349i
231.5                                             483.67282276827274                                3.6886359123516366-483.65875723461795i
232                                               463.34637278393                                   4.323891530782387-463.3261973319172i
232.5                                             513.8995284366681                                 2.142995534785152-513.8950601996168i
233                                               492.94680607252064                                2.144921246528553-492.9421395356107i
233.5                                             476.5018831206414                                 3.1061388061019155-476.49175913045406i
234                                               491.235920399447                                  2.852327813046142-491.22763940635383i
234.5                                             485.0894812288694                                 2.9039115204859014-485.0807892472911i
235                                               482.2260608638737                                 1.754934066287862-482.2228675443663i
235.5                                             478.19056997387696                                2.0875467029822294-478.18601334700725i
236                                               473.93519898226816                                1.5657228227072026-473.9326126638729i
236.5                                             471.7379818653806                                 2.5984157640434526-471.7308255456064i
237                                               467.5223308839211                                 2.4222593130292327-467.516055911404i
237.5                                             462.2359101524845                                 2.515467798498968-462.22906556841536i
238                                               453.1779327136912                                 3.092460570859784-453.16738120287573i
238.5                                             387.9273906153624                                 10.803742799742276-387.7769198020441i
239                                               469.2989782274998                                 2.9358786544002826-469.2897948836113i
239.5                                             441.96382027442553                                53.0426016120827-438.7693025335599i
240                                               476.35854433451794                                26.702344639931535-475.60955367951897i
240.5                                             487.76873531389384                                6.0313893967971985-487.73144402597177i
241                                               467.5606123972004                                 1.6568027160589094-467.55767694478624i
241.5                                             460.36087122190895                                1.1521217433855062-460.35942954140023i
242                                               454.6127255882892                                 0.9854723708973008-454.61165747373803i
242.5                                             448.5044078255993                                 0.9331423002655426-448.5034370932278i
243                                               444.9673685640684                                 1.147482136012621-444.9658889977737i
243.5                                             431.2925016392849                                 0.9489557323552145-431.2914576632496i
244                                               253.12570370872095                                22.235511741593665-252.14718696750245i
244.5                                             448.215985886245                                  1.154581393975454-448.2144988125476i
245                                               409.8097947970956                                 4.869061319956883-409.78086845715495i
245.5                                             612.9331401755448                                 31.116995276066856-612.1427667876534i
246                                               1648.5424811185853                                1578.5050579002414+475.40939645317997i
246.5                                             460.35354551099357                                2.3572234646247785-460.3475104332381i
247                                               405.3277813686095                                 5.522456950959812-405.2901587978964i
247.5                                             498.18953412599245                                4.169947452700582-498.17208216731206i
248                                               461.89367853707074                                1.2865911206306495-461.89188665292136i
248.5                                             444.04448268575425                                4.330916848025456-444.02336173101816i
249                                               441.8686061688904                                 1.4568042966207373-441.86620468064683i
249.5                                             436.14209860168745                                1.5639057954232447-436.1392946884597i
250                                               404.6311572041337                                 7.501484557772969-404.5616159620013i
250.5                                             431.1083530403663                                 1.7084740395462563-431.1049677023373i
251                                               415.09403684973046                                3.3973940605360924-415.0801333981221i
251.5                                             437.20631268838866                                3.800670715207072-437.18979260350034i
