% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
173.5                                             0.9994882155403768                                0.988025484734985-0.15093818111493446i
174                                               0.9986214230697295                                0.9941775700057787-0.09410476030051125i
174.5                                             0.9995100816053574                                0.9904792438904689-0.134056967938683i
175                                               0.9988111374238253                                0.9892267907291625-0.1380363892079092i
175.5                                             0.9935840196455752                                0.9846045767872095-0.13327802318739107i
176                                               0.9990832386160143                                0.989507201420467-0.1379957101525229i
176.5                                             0.9993840177370662                                0.9893787567857789-0.14106059169487128i
177                                               0.9993759514095597                                0.9878913447152736-0.15107277482197462i
177.5                                             0.9993246769979514                                0.9896129261920066-0.13898225199914527i
178                                               0.9994845643616747                                0.9894921547345463-0.14097755181599414i
178.5                                             0.9994815178741462                                0.9891464944175772-0.14336149118025104i
179                                               0.9994619004196671                                0.9887801176379366-0.14573252675501375i
179.5                                             0.9993738483174162                                0.988136738476843-0.1494452233198135i
180                                               0.9988183421386095                                0.9860761258697821-0.1590344446406566i
180.5                                             0.9987746762616259                                0.9889241050952-0.13992843993689505i
181                                               0.9974756125448985                                0.9951167988277966-0.06855767143463247i
181.5                                             0.9995204717281446                                0.9905053017007381-0.13394185569261974i
182                                               0.9992486689097072                                0.9884681497303643-0.14638517440796947i
182.5                                             0.9995627292798577                                0.9901449802775733-0.13688888850641612i
183                                               0.9995706917440231                                0.9896315615615733-0.14060917521565514i
183.5                                             0.9995631508242233                                0.9893563490180083-0.14247984820109122i
184                                               0.99955234184903                                  0.989140204216578-0.1438976737069312i
184.5                                             0.9995426381666149                                0.9889357111591262-0.14522962751198484i
185                                               0.9993890931110164                                0.9882669511290972-0.148684204726858i
185.5                                             0.9995269358441098                                0.9888377601980024-0.14578744625142828i
186                                               0.999507203269009                                 0.988627443898399-0.14707286139038026i
186.5                                             0.9994822867181639                                0.988459778793546-0.14802738655662345i
187                                               0.9986964838033182                                0.9873175138033916-0.15032895163008692i
187.5                                             0.9994067229639156                                0.9881680874401622-0.14945778290314873i
188                                               0.9993669205970772                                0.9880093708677261-0.15023889330411408i
188.5                                             0.9993224913266421                                0.9878537164152187-0.15096515040209557i
189                                               0.9992817241379193                                0.987705214896273-0.15166533111677055i
189.5                                             0.999254381852378                                 0.9875713673232274-0.15235522339095997i
190                                               0.9992515788736722                                0.9874597834372332-0.15305846587372823i
190.5                                             0.9992872400453964                                0.9873770419158441-0.15382316215402392i
191                                               0.9993946419244283                                0.987330712968645-0.15481509466483973i
191.5                                             0.9984644183716868                                0.9858290801448976-0.15834209640830155i
192                                               0.9981676007913339                                0.9861291895205476-0.15455672371357929i
192.5                                             0.9986677768468267                                0.9864237972459424-0.1559019587403547i
193                                               0.9979847783791238                                0.9854610634967269-0.15760745606832413i
193.5                                             0.999472194599799                                 0.9872697785691494-0.15570180507033624i
194                                               0.9993846903032099                                0.9869165205366198-0.15737071107526435i
194.5                                             0.9992122405177152                                0.9864959577618039-0.15890508777271287i
195                                               0.9994232803010528                                0.986695842225639-0.15899122033104102i
195.5                                             0.9994041910348639                                0.9864963272114209-0.16010538234684024i
196                                               0.9993255883182788                                0.9862969167315069-0.16084161001928876i
196.5                                             0.9974953151760081                                0.9837883352998179-0.16479507009039063i
197                                               0.9993453031408058                                0.9861041874371249-0.1621405761324313i
197.5                                             0.9993273016635346                                0.9859309629677764-0.16308032410917667i
198                                               0.999372523311896                                 0.9857776801563479-0.16427965685487328i
198.5                                             0.9994335915720779                                0.9855679746612636-0.1659013902435962i
199                                               0.9993875663159806                                0.9849401865845636-0.16931726597646088i
199.5                                             0.9989356937160441                                0.9858942626254631-0.16088823170806713i
200                                               0.9991282752334454                                0.985227858951961-0.16608243831270775i
200.5                                             0.9961418332952948                                0.9832032705387714-0.16003087465478133i
201                                               0.9990566156274276                                0.9845260844677752-0.16977193593606948i
201.5                                             0.9985464749430708                                0.9832875492665093-0.17389841309999038i
202                                               0.8686814883290243                                0.8488770757952839-0.18443220530801138i
202.5                                             0.9992734424184537                                0.9846893470957812-0.1701008596066194i
203                                               0.9009115013916928                                0.88470423561155-0.1701174559850257i
203.5                                             0.999413621614344                                 0.9854465987357091-0.16650101533780964i
204                                               0.9994994734514951                                0.9841964269928586-0.17423142806137695i
204.5                                             0.9952767405553204                                0.9666953663039919-0.23680341859190654i
205                                               0.9992690618725342                                0.9863180427868147-0.16036014619849187i
205.5                                             0.9993807804722088                                0.9852606998993828-0.16740160575997895i
206                                               0.9993954463085761                                0.9846648999908519-0.17095699116539115i
206.5                                             0.9993985404286495                                0.9840572056877315-0.17443869566403178i
207                                               0.9994050393423511                                0.982766768976417-0.18160371818478901i
207.5                                             0.9990194797042498                                0.9817885200585942-0.18474637400962807i
208                                               0.9990071180445318                                0.986744195014494-0.15604843962321271i
208.5                                             0.998883203030081                                 0.9851301740984799-0.1651853303908458i
209                                               0.9969511607617795                                0.9850575580327713-0.1535357427662137i
209.5                                             0.9982523630667017                                0.9817305248057361-0.18086723592986126i
210                                               0.9991452099345361                                0.9841321596552957-0.17255446348133652i
210.5                                             0.9993792574210305                                0.9810307966177704-0.19062391311405077i
211                                               0.9985892450644531                                0.9914506401278255-0.11918938102246991i
211.5                                             0.9994049589251116                                0.9861554964465907-0.16219620449407027i
212                                               0.9990905226706923                                0.9846856214390649-0.16904466694208306i
212.5                                             0.9994782247262157                                0.9844965112867928-0.17240458510724613i
213                                               0.997810079543293                                 0.9834104829245163-0.16890463851641996i
213.5                                             0.9992145693151467                                0.9841099109782663-0.17308217310284457i
214                                               0.9993319592674617                                0.9837946997372464-0.17553447975325218i
