% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 8 - tickle Z
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
219                                               539.4520621284938                                 4.322923706602103-539.434740877255i
219.5                                             537.5566925577052                                 5.364516903239667-537.5299244432574i
220                                               533.4491213792454                                 4.49979214370902-533.4301425406633i
220.5                                             531.3471111876673                                 5.797024687094305-531.3154873258039i
221                                               527.998149138536                                  6.135910362616096-527.9624949726464i
221.5                                             519.1480056076318                                 4.299647207501425-519.1302002005592i
222                                               525.4495837178235                                 5.409580857651649-525.4217367640765i
222.5                                             514.994531670441                                  3.7403445645959232-514.9809486505253i
223                                               531.9936172324382                                 8.52625297490411-531.9252877860404i
223.5                                             520.0741988354903                                 5.150014007711425-520.048699306226i
224                                               512.641609254988                                  3.9732544120766593-512.6262115703026i
224.5                                             496.1591759736822                                 2.158338175032176-496.15448146641336i
225                                               493.07098534194836                                3.348773703242082-493.0596133336864i
225.5                                             272.0636943991683                                 24.082601148023176-270.9957234571595i
226                                               543.2571765739194                                 6.827101328845636-543.2142768618221i
226.5                                             399.58991988366347                                11.033383695031773-399.43756523000036i
227                                               527.701863714368                                  5.366209354430735-527.674578471222i
227.5                                             530.0224655977731                                 56.13717537100246-527.0412048215092i
228                                               519.9436104914736                                 2.9652192747237023-519.9351551545269i
228.5                                             511.1674571061253                                 3.141779482234541-511.15780188316353i
229                                               507.4421613622135                                 3.1145804005197917-507.43260293056005i
229.5                                             499.89628273089767                                2.573355994358761-499.8896591519931i
230                                               469.29975245292826                                29.196651625978006-468.39066300067407i
230.5                                             501.9947918884442                                 3.557262971679795-501.98218789442393i
231                                               497.5790195586642                                 3.279932915301301-497.5682091382373i
231.5                                             493.5278461004801                                 3.2714928553637885-493.5170029604618i
232                                               494.432165158361                                  1.597547593676261-494.4295842532794i
232.5                                             482.0800980295872                                 3.192548189883946-482.06952667874754i
233                                               375.3481019040352                                 29.061283698683212-374.2213775197065i
233.5                                             485.0290562431734                                 2.3242287054158832-485.0234874323803i
234                                               494.8765674704133                                 2.8305370600812627-494.86847251694064i
234.5                                             487.78103411275555                                2.6674991928800766-487.7737402609587i
235                                               483.0934060224932                                 3.1142933743713876-483.08336766979653i
235.5                                             480.6586629402404                                 2.05024063933442-480.654290288582i
236                                               476.81681731793134                                1.9973713305930159-476.812633835314i
236.5                                             476.2145125061965                                 5.487654533750129-476.18289298255206i
237                                               469.94932459875423                                2.4490526513113955-469.94294316644056i
237.5                                             464.5510688185346                                 2.42459447538252-464.5447415288142i
238                                               455.4643916448342                                 2.890140707655039-455.45522188585005i
238.5                                             391.62350623043903                                12.663799354795012-391.41870013851434i
239                                               479.35762460966043                                8.43058885284278-479.2834833822364i
239.5                                             437.92741131408536                                44.15589087307177-435.6956218295767i
240                                               471.8151950228656                                 35.872801792636544-470.4494875605785i
240.5                                             490.16728992271345                                6.309803136469832-490.12667596709775i
241                                               469.5821734647234                                 1.692990721900347-469.5791215740635i
241.5                                             462.41662514333484                                1.1856270556642556-462.4151051787088i
242                                               456.73944116128484                                1.015178031161123-456.7383129603732i
242.5                                             450.8898449514521                                 0.9444421373895802-450.8888558274574i
243                                               457.7146629664797                                 8.944631428197196-457.62725690580515i
243.5                                             433.39327033911337                                0.9629727115819589-433.3922005052566i
244                                               296.0752302943253                                 13.904538506909363-295.7485516494504i
244.5                                             453.90674897771004                                1.2254797197031035-453.90509466954705i
245                                               429.31639876119726                                1.0695704931699672-429.31506643052194i
245.5                                             322.5500550844567                                 8.037517482664702-322.4498974223777i
246                                               1731.6582943423625                                800.6115908630248-1535.467853437667i
246.5                                             463.32385397953414                                2.6744297558971035-463.3161351517228i
247                                               410.68972511566926                                5.041935268173351-410.6587746588834i
247.5                                             500.18725277939177                                4.233431010007923-500.16933722978126i
248                                               462.33160012907774                                1.32231212743735-462.3297091563023i
248.5                                             451.6217672910698                                 1.2613629179638275-451.6200058176103i
249                                               444.1646283953933                                 1.449093833494826-444.16226454380336i
249.5                                             439.9922488523542                                 1.8614259191026792-439.98831137167684i
250                                               423.1759304995745                                 3.7483871677247618-423.15932903319236i
250.5                                             431.94262312859786                                2.1035586249046814-431.9375009377231i
251                                               417.4715721093928                                 3.2495786378590656-417.45892463590275i
251.5                                             452.9274688383063                                 8.760838748147282-452.8427317874318i
252                                               602.6742802531605                                 14.364743692715692-602.5030640729619i
252.5                                             453.71891386596917                                1.9591312939611019-453.71468414003067i
