% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
143.5                                             0.008810950086968848                              -0.00827828206762041+0.003017099177019324i
144                                               0.007097608476964807                              -0.006499964466834378+0.002850703075062917i
144.5                                             0.003730302395373937                              -0.0033207337081083504+0.0016993774156335898i
145                                               0.027569531780767778                              0.02031357770939055-0.01863967926911072i
145.5                                             0.009605677227810302                              -0.008476537033518389+0.004518556730225337i
146                                               0.014984412767610552                              -0.012613929377007012+0.00808835036716447i
146.5                                             0.012758635414897879                              -0.010370441028667349+0.007432141718321798i
147                                               0.012641940977785829                              -0.009927307073605085+0.00782733964717074i
147.5                                             0.022210448424378533                              -0.016494839167964688+0.014873610860680633i
148                                               0.004374869979035993                              -0.0032569341068959977+0.0029209360754401934i
148.5                                             0.0064232162151906655                             -0.004632016941269601+0.004449957932708993i
149                                               0.006511094149781255                              -0.004498205034541435+0.00470749386558727i
149.5                                             0.006326175918290887                              -0.004179760608952953+0.004748694873437204i
150                                               0.0057895094608868235                             -0.0036839269628790904+0.004466217855173488i
150.5                                             0.0036490005218373987                             -0.002293435588063375+0.0028381962602635515i
151                                               0.009179238937183854                              -0.006583309772880682+0.00639675385646547i
151.5                                             0.007339695021302692                              -0.004583268851935682+0.00573278027109113i
152                                               0.0068390400853665335                             -0.004030579501733056+0.00552511521775425i
152.5                                             0.006558895544564638                              -0.0036872736422040695+0.005424308605897805i
153                                               0.006362498592504338                              -0.0034200365885255486+0.005365141011452189i
153.5                                             0.0062112976796309585                             -0.0031921195661840335+0.005328282231655337i
154                                               0.006106381751588886                              -0.002996268229686737+0.005320740060546809i
154.5                                             0.006053564691729368                              -0.002828346114854086+0.00535220550161728i
155                                               0.0064643353267128355                             -0.002788380251806518+0.005832029388431009i
155.5                                             0.0071415149381173024                             -0.0029614491118015954+0.006498542511176034i
156                                               0.007073020213311586                              -0.002950565913493047+0.00642820159360666i
156.5                                             0.005574001581815055                              -0.002127776262033061+0.005151898855063572i
157                                               0.005641211181958127                              -0.0020073910301343575+0.005271967834839807i
157.5                                             0.004308875932760737                              -0.0014492115565164735+0.004057856289764808i
158                                               0.0050409394447292494                             -0.0015611791294132015+0.004793098185027287i
